id,Question 1{},Question 2{},Question 3{},Question 4{},Question 5{},Question 6{},Question 7{},Question 8{},Question 9{},Question 10{},Question 11{},Question 12{}
1,A,B,D,A,A,C,A,C,B,A,B,C
2,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
3,B,A,D,B,D,C,A,A,A,B,B,C
4,A,A,A,A,B,C,A,A,B,A,A,B
5,B,A,D,A,D,B,B,A,A,B,B,NV
6,A,A,D,B,C,A,B,A,A,B,A,C
7,A,A,D,C,D,A,B,A,B,B,B,A
8,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
9,B,B,C,C,A,A,C,B,A,A,B,E
10,B,A,C,A,B,C,A,A,A,B,B,C
11,B,A,C,A,B,C,A,A,A,A,B,C
12,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
13,A,C,B,B,A,A,A,A,B,A,B,C
14,B,B,B,B,A,C,A,C,A,A,A,C
15,B,B,C,B,D,C,A,A,B,A,B,C
16,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
17,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
18,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
19,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
20,B,A,D,B,E,A,B,A,A,A,B,C
21,A,A,D,C,B,B,D,B,A,A,B,E
22,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
23,A,A,D,A,B,C,A,A,A,C,NV,C
24,B,B,D,A,A,C,A,C,B,A,B,C
25,B,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
26,A,C,D,A,B,C,A,A,A,B,C,B
27,D,NV,D,A,B,C,NV,A,NV,B,B,C
28,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
29,A,B,D,B,E,C,A,A,A,A,B,C
30,B,B,D,B,E,C,A,A,A,A,B,C
31,B,A,B,B,D,A,A,A,A,A,B,E
32,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
33,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
34,A,B,D,C,A,A,B,B,A,C,B,C
35,A,B,C,B,D,A,A,A,A,B,B,B
36,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
37,A,A,C,C,A,A,B,B,B,A,B,D
38,B,C,D,B,E,C,A,A,A,A,B,B
39,A,A,D,NV,NV,NV,NV,NV,NV,NV,NV,NV
40,B,B,D,B,B,C,A,A,A,C,C,B
41,A,A,B,A,A,C,A,NV,A,A,B,C
42,A,A,D,B,D,C,B,A,A,NV,B,B
43,A,A,D,C,B,A,D,B,A,B,NV,C
44,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
45,A,A,D,C,B,B,E,B,A,A,B,A
46,B,B,D,B,C,A,E,B,A,C,B,C
47,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
48,A,A,C,C,D,B,B,B,B,A,B,C
49,B,B,D,C,B,B,E,B,A,B,B,B
50,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
51,B,B,D,NV,NV,NV,NV,NV,A,A,B,B
52,A,B,A,C,A,B,D,B,B,A,B,C
53,B,A,A,B,D,C,A,A,B,A,B,B
54,B,B,C,C,C,B,D,B,A,A,C,A
55,A,B,D,A,E,C,C,A,NV,C,B,C
56,A,A,C,A,B,NV,A,A,A,B,B,C
57,A,A,D,A,D,B,C,A,A,A,B,C
58,A,A,C,A,B,B,NV,B,B,NV,B,B
59,NV,A,NV,NV,NV,NV,NV,NV,A,B,B,B
60,A,A,D,A,D,B,D,A,A,A,B,E
61,A,C,A,C,C,A,C,B,A,B,A,C
62,A,A,D,C,B,B,E,B,A,A,B,B
63,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
64,A,A,B,B,C,A,C,C,A,B,B,C
65,A,B,C,B,D,C,A,A,B,B,B,C
66,A,A,C,B,C,C,A,A,A,A,D,C
67,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
68,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
69,B,C,D,B,D,A,A,A,A,A,B,E
70,A,A,D,NV,NV,NV,NV,NV,A,B,C,A
71,A,A,D,C,E,B,C,A,A,B,B,B
72,B,B,C,C,A,A,B,B,B,B,B,C
73,B,A,C,C,A,A,B,B,A,C,B,C
74,A,A,A,A,A,A,A,NV,A,A,A,B
75,A,A,D,A,B,C,B,C,A,B,A,C
76,B,B,D,A,B,B,E,B,B,A,B,C
77,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
78,A,B,D,A,B,B,D,B,A,A,B,A
79,NV,NV,NV,NV,NV,NV,NV,NV,B,B,B,A
80,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
81,B,B,C,C,B,A,C,B,A,C,A,C
82,A,B,C,C,A,B,C,B,A,B,B,C
83,A,A,D,C,C,A,C,B,A,A,B,C
84,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
85,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
86,A,A,C,B,E,C,A,A,A,C,B,C
87,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
88,A,B,C,C,B,A,C,B,B,A,B,C
89,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
90,A,A,D,C,C,B,D,B,A,B,B,C
91,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
92,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
93,NV,A,A,B,NV,B,NV,NV,NV,NV,A,NV
94,A,A,A,C,A,B,C,B,A,C,B,E
95,A,B,C,C,B,A,D,B,A,A,B,C
96,A,A,C,B,C,A,A,A,A,A,C,E
97,B,A,D,B,C,A,A,A,A,B,B,C
98,A,B,D,A,A,B,E,B,B,C,NV,NV
99,B,A,C,C,A,B,C,B,A,A,B,D
100,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
101,A,A,D,A,A,C,A,C,NV,NV,NV,NV
102,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
103,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
104,A,A,D,B,C,C,A,A,A,A,B,B
105,B,A,D,A,D,C,C,A,A,A,B,C
106,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
107,B,B,D,B,D,A,A,A,A,A,B,C
108,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
109,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
110,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
111,B,B,D,A,D,C,C,A,A,A,B,C
112,A,B,A,B,A,A,A,A,A,A,C,A
113,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
114,A,A,D,A,D,C,B,A,A,B,B,C
115,NV,A,D,A,A,A,B,A,B,B,A,A
116,B,A,C,C,A,B,C,B,A,A,B,C
117,A,A,A,A,B,C,A,A,A,A,B,C
118,B,A,C,B,A,A,A,A,A,B,B,C
119,A,A,C,C,B,B,C,B,NV,A,A,C
120,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
121,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
122,A,A,C,NV,A,B,NV,B,A,B,A,A
123,B,B,D,C,A,B,E,B,A,C,B,B
124,B,A,C,C,A,A,B,B,A,A,B,E
125,B,C,D,A,C,B,D,B,A,B,D,C
126,B,A,C,A,C,B,D,B,B,C,B,C
127,A,C,B,A,A,C,A,A,A,B,B,C
128,B,A,C,C,B,A,C,B,B,A,B,C
129,B,A,C,A,B,C,B,C,A,A,B,C
130,B,B,D,B,D,A,B,A,A,A,A,B
131,B,A,D,B,D,C,A,A,A,A,B,B
132,B,A,D,B,D,A,E,A,A,C,B,C
133,B,A,D,B,D,C,B,A,A,C,B,E
134,A,B,D,B,E,C,B,A,A,A,B,A
135,A,A,D,B,D,C,A,A,A,NV,A,B
136,A,B,A,B,A,A,A,A,A,A,C,A
137,A,C,D,B,E,C,B,A,A,A,B,C
138,B,B,D,A,A,C,B,B,D,A,D,E
139,B,A,D,B,C,C,B,A,A,B,B,B
140,A,B,C,A,A,B,D,B,A,B,B,B
141,A,B,D,NV,NV,NV,NV,NV,B,A,B,C
142,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
143,A,A,C,B,C,A,A,B,A,C,B,C
144,A,B,D,NV,NV,NV,NV,NV,NV,NV,NV,NV
145,A,A,D,NV,NV,NV,NV,NV,A,A,B,C
146,A,C,D,B,D,A,B,A,B,A,B,C
147,B,A,D,C,C,A,D,B,A,C,B,C
148,B,A,D,B,D,C,A,A,A,C,B,C
149,B,B,D,C,A,A,B,B,B,B,C,C
150,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
151,A,B,D,A,B,C,C,B,A,C,B,C
152,A,A,B,C,A,B,B,B,B,C,E,A
153,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
154,A,A,C,C,A,A,B,B,A,C,B,C
155,A,A,D,A,D,B,D,C,A,A,E,A
156,B,B,D,B,D,A,B,A,A,B,B,C
157,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
158,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
159,B,A,D,C,A,A,B,B,A,B,D,C
160,A,A,D,C,A,B,C,B,A,A,B,B
161,B,A,D,C,C,B,D,B,A,A,NV,B
162,A,B,C,A,B,B,D,B,A,A,B,C
163,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
164,A,A,D,B,D,C,A,A,A,B,B,E
165,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
166,A,A,C,A,A,C,A,C,B,B,B,C
167,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
168,B,A,D,C,B,A,C,B,A,B,B,B
169,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
170,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
171,A,B,B,A,NV,NV,NV,NV,NV,NV,NV,NV
172,B,B,D,A,D,C,D,A,A,C,B,C
173,A,C,D,B,E,C,A,A,A,A,C,C
174,A,A,D,B,D,C,B,A,A,B,B,A
175,A,B,D,C,A,A,C,B,A,A,B,B
176,A,B,D,B,D,C,A,A,A,A,B,C
177,A,A,A,A,A,A,A,NV,A,A,A,B
178,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
179,A,A,B,C,A,A,C,B,A,B,B,C
180,A,B,B,NV,A,A,E,A,B,C,B,C
181,A,A,D,A,B,C,B,A,B,B,B,C
182,A,A,C,B,D,C,B,A,A,A,B,C
183,A,B,D,A,B,B,E,B,A,A,B,B
184,A,A,D,A,A,B,B,B,A,A,C,C
185,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
186,B,A,D,A,B,C,A,A,B,A,B,C
187,A,A,D,NV,NV,NV,NV,NV,A,A,A,C
188,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
189,B,A,D,B,D,C,A,A,A,A,B,A
190,A,A,D,A,A,B,D,B,NV,B,B,C
191,B,C,C,B,D,A,C,A,A,B,A,C
192,B,B,D,A,A,C,B,B,A,B,B,C
193,A,B,D,C,B,B,E,B,A,B,B,C
194,A,B,C,B,E,E,C,B,B,A,E,C
195,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
196,A,B,C,C,A,B,D,B,B,C,B,C
197,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
198,A,A,C,C,A,A,C,B,A,A,B,C
199,A,A,C,NV,NV,NV,NV,NV,NV,NV,NV,NV
200,A,A,A,B,A,A,A,B,A,B,B,A
201,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
202,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
203,A,B,C,B,D,C,A,A,A,A,B,C
204,B,C,D,C,C,B,D,B,A,A,B,E
205,B,B,C,NV,NV,NV,NV,NV,A,C,C,C
206,B,C,C,B,B,C,A,B,B,C,B,C
207,A,A,D,NV,NV,NV,NV,NV,NV,NV,NV,NV
208,A,A,D,A,B,B,C,B,B,A,E,A
209,A,A,C,B,C,A,B,A,A,A,B,C
210,B,B,D,NV,NV,NV,NV,NV,NV,A,B,B
211,A,B,D,NV,NV,NV,NV,NV,NV,NV,NV,NV
212,B,B,C,C,A,A,B,B,A,A,B,D
213,A,A,D,A,B,C,C,B,A,A,B,C
214,B,A,C,A,C,C,B,A,A,A,B,C
215,A,A,D,C,B,B,D,B,NV,NV,NV,NV
216,A,B,D,A,C,C,A,A,A,C,B,B
217,B,B,C,B,D,A,A,A,A,B,B,A
218,B,C,C,B,C,A,A,A,A,B,B,C
219,B,B,D,NV,C,C,E,B,A,C,B,D
220,B,B,C,B,NV,NV,NV,NV,A,B,B,A
221,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
222,A,A,C,NV,NV,NV,NV,NV,A,A,A,C
223,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
224,A,A,D,A,A,C,A,C,A,B,E,C
225,B,A,C,C,C,A,D,B,A,A,C,C
226,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
227,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
228,A,B,D,A,D,B,E,B,A,B,B,C
229,B,A,C,A,D,B,A,A,B,B,B,A
230,B,NV,A,A,B,B,C,B,A,A,B,A
231,A,A,C,A,C,B,D,B,A,A,A,C
232,A,A,C,NV,A,C,NV,B,A,B,A,A
233,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
234,A,B,A,A,A,C,A,C,A,A,B,C
235,A,A,D,A,D,C,B,A,A,C,B,C
236,B,B,D,A,C,C,C,A,A,C,B,C
237,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
238,B,A,D,B,C,A,A,A,A,B,B,D
239,B,C,C,C,A,A,C,B,A,A,B,C
240,A,A,C,C,B,A,C,B,A,C,B,C
241,B,A,D,B,C,C,A,A,A,A,B,C
242,A,A,D,C,C,A,D,A,C,A,B,C
243,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
244,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
245,A,C,D,C,B,B,D,NV,A,B,C,B
246,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
247,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
248,B,A,D,B,D,A,B,A,A,A,B,E
249,A,B,C,C,B,A,C,B,A,B,B,C
250,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
251,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
252,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
253,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV